,Pre_Crisis_Peak,Peak_Date,Crisis_Bottom,Bottom_Date,Peak_to_Trough_Drop,Recovery_2009_End,Recovery_from_Bottom
BAC,37.27140426635742,2007-10-05 00:00:00,2.4428763389587402,2009-03-06 00:00:00,-93.44570888314027,11.741256713867188,380.63246291344484
GS,184.1673126220703,2007-10-31 00:00:00,38.961997985839844,2008-11-20 00:00:00,-78.84423819236926,128.07290649414062,228.71236875656842
JPM,33.074642181396484,2007-05-09 00:00:00,10.534862518310547,2009-03-09 00:00:00,-68.14821922930402,27.73255729675293,163.245554923486
WFC,22.946516036987305,2007-10-05 00:00:00,5.326456069946289,2009-03-05 00:00:00,-76.78751727991902,17.808263778686523,234.33606782503884
C,377.76983642578125,2007-05-30 00:00:00,7.5684285163879395,2009-03-05 00:00:00,-97.99655033657648,24.560291290283203,224.50978742948732
^GSPC,1565.1500244140625,2007-10-09 00:00:00,676.530029296875,2009-03-09 00:00:00,-56.77538774277282,1115.0999755859375,64.82638276158606
^VIX,30.829999923706055,2007-08-16 00:00:00,16.299999237060547,2008-05-15 00:00:00,-47.129421740520286,21.68000030517578,33.00614306706824
XLF,21.441593170166016,2007-06-01 00:00:00,3.712280750274658,2009-03-06 00:00:00,-82.68654422825281,8.841711044311523,138.17463276874622
VNQ,37.41736602783203,2007-04-23 00:00:00,10.756013870239258,2009-03-06 00:00:00,-71.2539523433086,24.12350082397461,124.27919036736985
GLD,78.62000274658203,2007-10-31 00:00:00,70.0,2008-11-12 00:00:00,-10.96413437476862,107.30999755859375,53.29999651227679
TLT,52.80240249633789,2007-10-24 00:00:00,52.7666015625,2007-11-06 00:00:00,-0.06780171383371503,57.238502502441406,8.474870102529941
HYG,34.25774002075195,2007-09-19 00:00:00,22.52562141418457,2008-11-20 00:00:00,-34.24662163779788,35.32304000854492,56.81272165171751
LQD,53.072120666503906,2007-10-24 00:00:00,42.72689437866211,2008-09-29 00:00:00,-19.492769759191308,58.668609619140625,37.31072775661373
KRE,30.75864028930664,2007-05-09 00:00:00,10.164727210998535,2009-03-09 00:00:00,-66.95326218782063,15.764687538146973,55.0920866925884
