,Pre_Crisis_Peak,Pre_Crisis_Peak_Date,Market_Bottom_Value,Market_Bottom_Date,Period_End_Value,Peak_to_Trough_Drop,Total_Period_Return,Recovery_from_Bottom,Max_Drawdown
BAC,37.27140426635742,2007-10-05,2.44287633895874,2009-03-06,11.741256713867188,-93.44570888314027,-67.7650302262407,380.63246291344495,-93.44570888314027
GS,184.1673126220703,2007-10-31,38.96199798583984,2008-11-20,128.07290649414062,-78.84423819236927,-13.53500702824122,228.71236875656845,-78.84423819236927
JPM,33.074642181396484,2007-05-09,10.534862518310549,2009-03-09,27.73255729675293,-68.148219229304,-6.544727463496303,163.24555492348597,-68.148219229304
WFC,22.946516036987305,2007-10-05,5.326456069946289,2009-03-05,17.808263778686523,-76.78751727991902,-16.61312605738945,234.33606782503884,-79.01341133585123
C,377.7698364257813,2007-05-30,7.5684285163879395,2009-03-05,24.560291290283203,-97.99655033657648,-93.3743503432687,224.50978742948732,-97.99655033657648
^GSPC,1565.1500244140625,2007-10-09,676.530029296875,2009-03-09,1115.0999755859375,-56.77538774277282,-21.28335487760352,64.82638276158606,-56.77538774277282
^VIX,30.82999992370605,2007-08-16,16.299999237060547,2008-05-15,21.68000030517578,-47.12942174052027,80.06644828792093,33.00614306706824,-75.92134656642338
XLF,21.441593170166016,2007-06-01,3.712280750274658,2009-03-06,8.841711044311523,-82.68654422825281,-57.35634337780484,138.17463276874622,-82.68654422825281
VNQ,39.93399429321289,2007-02-07,10.756013870239258,2009-03-06,24.12350082397461,-73.06551958899004,-31.64105840283994,124.27919036736985,-73.06551958899004
GLD,78.62000274658203,2007-10-31,70.0,2008-11-12,107.30999755859376,-10.96413437476862,72.30250427407805,53.29999651227681,-29.41413603663834
TLT,52.80240249633789,2007-10-24,53.180908203125,2008-06-13,57.238502502441406,0.7168342516486126,14.717402870532602,7.629795045655086,-26.585330536070884
