"Date","Value"
"12/31/1914",54.65
"12/31/1915",74.45
"12/31/1916",95.27
"12/31/1917",87.87
"12/31/1918",80.97
"12/31/1919",99.79
"12/31/1920",90.01
"12/31/1921",73.39
"12/31/1922",93.24
"12/31/1923",94.87
"12/31/1924",99.65
"12/31/1925",134.4
"12/31/1926",153
"12/31/1927",176.07
"12/31/1928",226.17
"12/31/1929",313.54
"12/31/1930",236.04
"12/31/1931",138.6
"12/31/1932",64.53
"12/31/1933",84.5
"12/31/1934",98.16
"12/31/1935",120.35
"12/31/1936",162.07
"12/31/1937",166.45
"12/31/1938",132.36
"12/31/1939",142.57
"12/31/1940",134.64
"12/31/1941",121.93
"12/31/1942",107.15
"12/31/1943",134.92
"12/31/1944",143.32
"12/31/1945",169.66
"12/31/1946",191.52
"12/31/1947",177.48
"12/31/1948",179.78
"12/31/1949",179.67
"12/31/1950",216.28
"12/31/1951",257.41
"12/31/1952",270.35
"12/31/1953",275.84
"12/31/1954",334.34
"12/31/1955",442.69
"12/31/1956",493.21
"12/31/1957",476.07
"12/31/1958",491.26
"12/31/1959",632.57
"12/31/1960",618.02
"12/31/1961",691.74
"12/31/1962",639.14
"12/31/1963",714.69
"12/31/1964",834.09
"12/31/1965",910.7
"12/31/1966",872.78
"12/31/1967",879.48
"12/31/1968",903.96
"12/31/1969",875.72
"12/31/1970",753.12
"12/31/1971",884.87
"12/31/1972",950.08
"12/31/1973",924.07
"12/31/1974",759.13
"12/31/1975",802.89
"12/31/1976",975.2
"12/31/1977",894.37
"12/31/1978",821.13
"12/31/1979",844.38
"12/31/1980",891.14
"12/31/1981",932.95
"12/31/1982",884.53
"12/31/1983",1190.78
"12/31/1984",1178.59
"12/31/1985",1327.99
"12/31/1986",1793.1
"12/31/1987",2277.53
"12/31/1988",2061.48
"12/31/1989",2510.33
"12/31/1990",2679.45
"12/31/1991",2929.04
"12/31/1992",3284.08
"12/31/1993",3524.92
"12/31/1994",3794.22
"12/31/1995",4494.28
"12/31/1996",5739.63
"12/31/1997",7447.01
"12/31/1998",8630.76
"12/31/1999",10481.56
"12/31/2000",10729.38
"12/31/2001",10199.28
"12/31/2002",9214.85
"12/31/2003",9006.64
"12/31/2004",10315.51
"12/31/2005",10546.66
"12/31/2006",11409.78
"12/31/2007",13178.26
"12/31/2008",11244.06
"12/31/2009",8885.65
"12/31/2010",10668.58
"12/31/2011",11957.57
"12/31/2012",12966.44
"12/31/2013",15009.52
"12/31/2014",16777.69
"12/31/2015",17587.03
"12/31/2016",17927.11
"12/31/2017",21750.2
"12/31/2018",25053.95
"12/31/2019",26379.59
"12/31/2020",26890.67
"12/31/2021",34055.29
"12/31/2022",32898.34
"12/31/2023",34121.54
"12/31/2024",40323.13
"12/31/2025",43823.04
